iter	Passed	Remaining
0	114	113946
1	194	96925
2	276	91993
3	372	92768
4	433	86326
5	488	80902
6	539	76526
7	600	74512
8	679	74782
9	744	73672
10	794	71462
11	848	69855
12	901	68452
13	955	67275
14	1024	67296
15	1109	68220
16	1192	68962
17	1279	69780
18	1347	69563
19	1408	68995
20	1458	68007
21	1506	66985
22	1589	67538
23	1647	66980
24	1700	66316
25	1754	65716
26	1804	65035
27	1857	64493
28	1916	64156
29	2062	66701
30	2114	66099
31	2184	66080
32	2240	65662
33	2290	65067
34	2341	64566
35	2393	64088
36	2471	64334
37	2531	64098
38	2597	63994
39	2649	63588
40	2710	63394
41	2762	63014
42	2810	62552
43	2861	62175
44	2915	61872
45	2972	61639
46	3030	61443
47	3083	61146
48	3138	60908
49	3189	60599
50	3246	60417
51	3298	60130
52	3349	59841
53	3409	59728
54	3482	59831
55	3539	59657
56	3593	59455
57	3647	59246
58	3698	58981
59	3751	58771
60	3804	58561
61	3857	58361
62	3910	58159
63	3962	57949
64	4035	58050
65	4089	57873
66	4144	57715
67	4197	57535
68	4255	57416
69	4308	57239
70	4361	57070
71	4417	56940
72	4495	57087
73	4553	56974
74	4602	56766
75	4658	56634
76	4716	56539
77	4772	56417
78	4845	56486
79	4895	56295
80	4947	56137
81	5009	56081
82	5074	56066
83	5127	55911
84	5186	55830
85	5241	55702
86	5293	55547
87	5350	55451
88	5402	55300
89	5480	55418
90	5540	55341
91	5597	55241
92	5651	55120
93	5712	55061
94	5764	54916
95	5821	54821
96	5882	54762
97	5939	54669
98	5992	54540
99	6061	54557
100	6116	54445
101	6175	54371
102	6229	54254
103	6285	54149
104	6337	54017
105	6390	53898
106	6458	53900
107	6532	53957
108	6586	53838
109	6642	53743
110	6696	53630
111	6750	53521
112	6804	53412
113	6855	53278
114	6907	53159
115	6964	53078
116	7035	53099
117	7090	52997
118	7148	52923
119	7194	52758
120	7248	52653
121	7300	52541
122	7357	52456
123	7409	52347
124	7483	52382
125	7548	52361
126	7605	52277
127	7661	52196
128	7719	52122
129	7767	51985
130	7822	51890
131	7877	51797
132	7933	51716
133	7987	51619
134	8050	51584
135	8107	51504
136	8165	51438
137	8220	51349
138	8275	51261
139	8328	51157
140	8378	51043
141	8430	50936
142	8506	50980
143	8595	51095
144	8652	51017
145	8707	50935
146	8763	50852
147	8816	50752
148	8871	50667
149	8924	50573
150	8992	50562
151	9046	50471
152	9112	50448
153	9170	50380
154	9230	50323
155	9276	50188
156	9331	50103
157	9384	50010
158	9438	49921
159	9508	49921
160	9571	49876
161	9624	49788
162	9679	49701
163	9740	49653
164	9797	49582
165	9852	49498
166	9902	49396
167	9955	49303
168	10011	49227
169	10083	49229
170	10144	49180
171	10197	49088
172	10250	49001
173	10305	48920
174	10358	48833
175	10412	48749
176	10468	48674
177	10548	48711
178	10602	48630
179	10659	48558
180	10710	48463
181	10768	48400
182	10826	48332
183	10878	48244
184	10946	48225
185	11008	48177
186	11067	48115
187	11149	48157
188	11206	48088
189	11255	47983
190	11309	47903
191	11362	47817
192	11412	47719
193	11465	47634
194	11534	47615
195	11600	47585
196	11653	47502
197	11709	47427
198	11759	47331
199	11813	47254
200	11869	47182
201	11922	47101
202	11979	47032
203	12041	46984
204	12092	46896
205	12177	46935
206	12231	46856
207	12284	46776
208	12336	46688
209	12390	46611
210	12445	46537
211	12500	46465
212	12581	46487
213	12641	46429
214	12693	46345
215	12750	46279
216	12801	46192
217	12853	46106
218	12909	46037
219	12960	45951
220	13014	45876
221	13073	45816
222	13150	45819
223	13206	45752
224	13261	45677
225	13313	45595
226	13371	45535
227	13420	45441
228	13476	45372
229	13537	45321
230	13619	45339
231	13675	45270
232	13732	45206
233	13787	45132
234	13841	45059
235	13889	44963
236	13938	44874
237	13994	44805
238	14045	44721
239	14097	44643
240	14176	44648
241	14240	44604
242	14296	44535
243	14349	44461
244	14399	44374
245	14448	44284
246	14496	44193
247	14556	44138
248	14634	44138
249	14693	44081
250	14747	44008
251	14804	43943
252	14857	43868
253	14911	43794
254	14953	43687
255	15001	43599
256	15047	43503
257	15100	43429
258	15153	43353
259	15239	43375
260	15296	43311
261	15354	43251
262	15410	43184
263	15466	43117
264	15523	43055
265	15579	42989
266	15649	42961
267	15719	42935
268	15778	42876
269	15834	42810
270	15889	42744
271	15948	42686
272	16004	42618
273	16060	42554
