iter	Passed	Remaining
0	81	81529
1	109	54686
2	130	43272
3	155	38599
4	193	38460
5	222	36797
6	245	34854
7	268	33233
8	289	31927
9	314	31169
10	346	31146
11	369	30399
12	384	29222
13	397	27965
14	409	26910
15	422	25983
16	434	25103
17	449	24547
18	463	23915
19	477	23406
20	488	22790
21	502	22325
22	514	21864
23	529	21536
24	543	21194
25	557	20899
26	572	20621
27	586	20348
28	602	20159
29	613	19841
30	626	19586
31	640	19368
32	651	19079
33	666	18947
34	681	18780
35	694	18590
36	707	18411
37	721	18262
38	739	18216
39	754	18111
40	767	17957
41	781	17835
42	793	17648
43	805	17503
44	820	17402
45	833	17278
46	846	17168
47	859	17040
48	873	16949
49	887	16867
50	901	16766
51	914	16678
52	929	16604
53	946	16585
54	959	16492
55	974	16426
56	998	16510
57	1024	16632
58	1050	16747
59	1066	16711
60	1087	16738
61	1116	16885
62	1145	17039
63	1170	17116
64	1196	17204
65	1220	17273
66	1233	17179
67	1246	17085
68	1258	16982
69	1271	16896
70	1285	16823
71	1314	16947
72	1345	17089
73	1372	17176
74	1385	17088
75	1399	17014
76	1413	16939
77	1425	16854
78	1443	16823
79	1459	16778
80	1473	16713
81	1500	16800
82	1522	16821
83	1547	16872
84	1563	16833
85	1577	16761
86	1590	16694
87	1604	16623
88	1618	16564
89	1631	16497
90	1648	16464
91	1660	16387
92	1673	16321
93	1687	16263
94	1704	16238
95	1717	16176
96	1731	16121
97	1744	16057
98	1752	15949
99	1766	15899
100	1782	15865
101	1798	15836
102	1811	15779
103	1825	15723
104	1843	15709
105	1862	15704
106	1882	15714
107	1905	15741
108	1928	15767
109	1942	15715
110	1954	15653
111	1970	15624
112	1992	15641
113	2008	15606
114	2026	15599
115	2043	15569
116	2062	15563
117	2075	15510
118	2087	15457
119	2101	15414
120	2110	15330
121	2123	15283
122	2140	15260
123	2155	15228
124	2169	15185
125	2183	15144
126	2197	15108
127	2210	15059
128	2225	15028
129	2239	14984
130	2253	14951
131	2268	14916
132	2282	14876
133	2295	14837
134	2312	14817
135	2327	14783
136	2338	14733
137	2352	14692
138	2364	14645
139	2377	14606
140	2402	14635
141	2427	14668
142	2443	14645
143	2456	14604
144	2471	14571
145	2485	14538
146	2499	14503
147	2516	14487
148	2532	14462
149	2548	14442
150	2562	14407
151	2575	14368
152	2589	14337
153	2603	14302
154	2617	14268
155	2632	14240
156	2646	14208
157	2661	14180
158	2676	14154
159	2691	14131
160	2704	14094
161	2719	14069
162	2733	14035
163	2747	14003
164	2761	13972
165	2774	13941
166	2788	13906
167	2800	13871
168	2818	13857
169	2832	13827
170	2846	13800
171	2860	13768
172	2873	13738
173	2887	13708
174	2901	13679
175	2915	13649
176	2928	13618
177	2942	13589
178	2956	13560
179	2977	13563
180	2992	13542
181	3006	13512
182	3016	13469
183	3031	13446
184	3044	13410
185	3056	13375
186	3069	13345
187	3082	13312
188	3096	13284
189	3110	13259
190	3131	13265
191	3146	13242
192	3167	13243
193	3189	13251
194	3205	13234
195	3219	13208
196	3233	13182
197	3243	13138
198	3257	13112
199	3273	13095
200	3287	13067
201	3301	13043
202	3314	13012
203	3330	12996
204	3343	12966
205	3357	12941
206	3371	12916
207	3394	12923
208	3418	12937
209	3438	12934
210	3453	12912
211	3467	12886
212	3477	12850
213	3491	12823
214	3509	12812
215	3527	12802
216	3541	12777
217	3553	12748
218	3568	12725
219	3583	12705
220	3597	12679
221	3610	12653
222	3629	12646
223	3644	12625
224	3658	12600
225	3671	12574
226	3685	12551
227	3698	12523
228	3712	12497
229	3726	12474
230	3740	12452
231	3757	12437
232	3770	12411
233	3783	12384
234	3797	12361
235	3810	12336
236	3825	12314
237	3838	12289
238	3851	12262
239	3864	12238
240	3877	12212
241	3891	12188
242	3905	12165
243	3918	12140
244	3930	12113
245	3942	12085
246	3956	12061
247	3980	12070
248	4001	12067
249	4019	12058
250	4035	12043
251	4052	12030
252	4064	12001
253	4079	11980
254	4093	11959
255	4106	11934
256	4125	11926
257	4140	11907
258	4153	11882
259	4167	11861
260	4184	11846
261	4199	11828
262	4213	11806
263	4226	11782
264	4238	11754
265	4252	11733
266	4266	11713
267	4280	11691
268	4297	11677
269	4310	11654
270	4322	11628
271	4335	11604
272	4352	11590
273	4364	11563
274	4376	11538
275	4397	11536
276	4424	11547
277	4445	11545
278	4458	11520
279	4471	11499
280	4484	11474
281	4497	11450
282	4516	11443
283	4531	11423
284	4543	11399
285	4558	11379
286	4571	11357
287	4585	11335
288	4599	11316
289	4616	11303
290	4630	11282
291	4644	11261
292	4658	11241
293	4673	11222
294	4686	11199
295	4700	11178
296	4713	11157
297	4727	11137
298	4741	11117
299	4754	11094
300	4769	11075
301	4781	11051
302	4795	11030
303	4811	11015
304	4825	10995
305	4838	10973
306	4852	10953
307	4866	10932
308	4880	10913
309	4897	10901
310	4911	10880
311	4924	10860
312	4939	10842
313	4953	10821
314	4967	10802
315	4996	10814
316	5009	10793
317	5023	10772
318	5039	10759
319	5053	10739
320	5067	10720
321	5082	10700
322	5098	10685
323	5112	10665
324	5125	10644
325	5138	10623
326	5152	10603
327	5166	10584
328	5179	10564
329	5192	10543
330	5206	10523
331	5221	10506
332	5239	10493
333	5251	10472
334	5265	10453
335	5280	10435
336	5293	10413
337	5310	10400
338	5323	10379
339	5335	10356
340	5349	10337
341	5362	10317
342	5377	10299
343	5399	10295
344	5426	10302
345	5447	10296
346	5462	10278
347	5476	10259
348	5493	10247
349	5512	10236
350	5525	10216
351	5542	10202
352	5556	10184
353	5570	10165
354	5584	10146
355	5598	10127
356	5612	10107
357	5625	10087
358	5637	10066
359	5651	10046
360	5665	10028
361	5679	10010
362	5693	9991
363	5707	9972
364	5721	9954
365	5735	9934
366	5747	9913
367	5760	9893
368	5778	9881
369	5792	9862
370	5805	9842
371	5820	9826
372	5834	9807
373	5847	9787
374	5861	9768
375	5873	9748
376	5887	9728
377	5901	9710
378	5915	9693
379	5931	9677
380	5948	9664
381	5961	9644
382	5990	9650
383	6014	9648
384	6034	9640
385	6055	9632
386	6075	9623
387	6095	9613
388	6108	9593
389	6122	9576
390	6136	9557
391	6150	9539
392	6164	9521
393	6176	9500
394	6190	9481
395	6204	9463
396	6221	9449
397	6233	9429
398	6248	9411
399	6259	9388
400	6275	9374
401	6289	9356
402	6304	9339
403	6317	9319
404	6331	9301
405	6345	9283
406	6359	9265
407	6372	9246
408	6386	9228
409	6406	9219
410	6432	9219
411	6471	9236
412	6501	9240
413	6514	9220
414	6530	9205
415	6550	9195
416	6567	9181
417	6583	9166
418	6600	9153
419	6617	9138
420	6632	9121
421	6646	9103
422	6664	9090
423	6681	9076
424	6694	9057
425	6709	9040
426	6723	9022
427	6737	9003
428	6751	8985
429	6766	8969
430	6780	8951
431	6793	8932
432	6806	8913
433	6820	8894
434	6834	8876
435	6847	8857
436	6862	8841
437	6881	8829
438	6896	8812
439	6909	8794
440	6921	8773
441	6934	8753
442	6947	8735
443	6960	8716
444	6974	8699
445	7010	8707
446	7024	8690
447	7039	8673
448	7052	8655
449	7067	8637
450	7085	8624
451	7101	8609
452	7115	8591
453	7128	8573
454	7142	8555
455	7157	8538
456	7171	8520
457	7188	8506
458	7202	8488
459	7214	8469
460	7228	8451
461	7242	8434
462	7259	8420
463	7273	8402
464	7287	8384
465	7301	8367
466	7314	8348
467	7328	8330
468	7344	8315
469	7358	8298
470	7372	8280
471	7386	8262
472	7399	8244
473	7429	8244
474	7454	8238
475	7471	8225
476	7486	8208
477	7499	8190
478	7513	8172
479	7527	8154
480	7544	8140
481	7558	8123
482	7574	8108
483	7593	8095
484	7607	8077
485	7621	8060
486	7635	8042
487	7649	8025
488	7663	8008
489	7677	7990
490	7689	7971
491	7703	7954
492	7717	7936
493	7730	7918
494	7743	7899
495	7757	7882
496	7770	7864
497	7784	7846
498	7796	7827
499	7809	7809
500	7822	7791
501	7836	7774
502	7850	7756
503	7863	7738
504	7881	7725
505	7895	7708
506	7910	7691
507	7928	7678
508	7942	7661
509	7956	7644
510	7971	7627
511	7983	7609
512	8027	7620
513	8041	7603
514	8058	7588
515	8075	7575
516	8095	7563
517	8109	7546
518	8122	7527
519	8134	7509
520	8148	7491
521	8162	7474
522	8175	7456
523	8188	7438
524	8201	7420
525	8215	7403
526	8229	7386
527	8243	7369
528	8256	7351
529	8270	7333
530	8284	7316
531	8295	7297
532	8309	7280
533	8322	7262
534	8334	7243
535	8348	7226
536	8360	7208
537	8373	7190
538	8389	7175
539	8404	7159
540	8418	7142
541	8447	7138
542	8475	7133
543	8490	7116
544	8504	7100
545	8517	7082
546	8531	7065
547	8541	7045
548	8555	7028
549	8568	7010
550	8584	6995
551	8599	6978
552	8612	6961
553	8629	6947
554	8643	6930
555	8657	6913
556	8671	6896
557	8685	6880
558	8699	6863
559	8713	6846
560	8729	6831
561	8743	6814
562	8756	6796
563	8769	6779
564	8784	6763
565	8795	6744
566	8808	6727
567	8822	6710
568	8837	6693
569	8854	6679
570	8867	6662
571	8884	6647
572	8899	6632
573	8914	6615
574	8927	6598
575	8940	6581
576	8954	6564
577	8967	6547
578	8980	6529
579	8998	6515
580	9043	6522
581	9066	6511
582	9086	6498
583	9099	6482
